typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","492566431",,"492566431","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","37242373",,"37242373","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","72","BWA","Botswana","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","213879358",,"213879358","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","51653224893",,"51653224893","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","84","BLZ","Belize","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","7272471",,"7272471","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","90","SLB","Solomon Isds","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","473833880",,"473833880","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","92","VGB","Br. Virgin Isds","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","9005",,"9005","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","96","BRN","Brunei Darussalam","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","189717197",,"189717197","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","100","BGR","Bulgaria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","984859638",,"984859638","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","104","MMR","Myanmar","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","15601279451",,"15601279451","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","108","BDI","Burundi","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4143095",,"4143095","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","112","BLR","Belarus","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","738277242",,"738277242","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","116","KHM","Cambodia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","482914653",,"482914653","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","120","CMR","Cameroon","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","688876834",,"688876834","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","25182010414",,"25182010414","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","132","CPV","Cabo Verde","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3020",,"3020","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","136","CYM","Cayman Isds","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1214",,"1214","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","140","CAF","Central African Rep.","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","29272800",,"29272800","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","144","LKA","Sri Lanka","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","248272984",,"248272984","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","148","TCD","Chad","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","108341710",,"108341710","0","true","false",
